sum_cog	homeemo	max_age	min_emo	momage	sum_emo	slope_cog	slope_emo	min_cog	sum_age	min_age	homecog	slope_age	kidgen	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.25)	(0.0, 9.0)	(0.33, 0.92)												('sum_cog', 'homeemo', 'max_age')	0.18	-inf	0.07	0.07	[0.         0.36505083]	-0.014480605305569938	75.87366223743672	127.86571428571429	1.1071035392641648	2	1		124.28926038511378	75.87366223743672	84
(0.0, 0.25)				(23.0, 26.0)						(0.47, 1.0)				('sum_cog', 'min_age', 'momage')	0.12	0.06392307692307692	0.06	0.06	[0.        0.2105672]	1.6177500180075295	60.24682899508218	67.905	0.9295095017294795	2	1		85.18790204685493	60.24682899508218	56
(0.0, 0.28)			(0.0, 0.7)								(1.0, 7.0)			('homecog', 'min_emo', 'sum_cog')	0.13	0.04918225	0.1	0.1	[0.         0.42939641]	-0.6308155419146297	90.53547446387088	191.728785046729	1.1818571740373378	2	1		130.27531133008293	90.53547446387088	107
(0.0, 0.25)				(24.0, 29.0)			(0.26, 0.85)							('sum_cog', 'momage', 'slope_emo')	0.12	0.0388848	0.07	0.07	[0.        0.3826444]	-0.2200402400972017	54.39259963716397	108.168875	1.4707883155733499	2	1		97.34830191238095	54.39259963716397	80
	(0.0, 9.0)					(0.0, 0.57)	(0.21, 0.69)							('slope_cog', 'homeemo', 'slope_emo')	0.15	0.11447368421052631	0.14	0.14	[0.         0.46715564]	-0.8064590417589854	191.82296713076263	397.7037837837837	0.964430916522569	2	1		237.79499197565121	191.82296713076263	185
			(0.78, 1.0)	(27.0, 29.0)	(0.16, 0.88)									('min_emo', 'momage', 'sum_emo')	0.15	0.15	0.08	0.08	[0.         0.62617591]	-1.1144011871925334	91.30713418408193	250.42119565217396	1.0075882987907736	2	1		129.59007861988354	91.30713418408193	92
			(0.78, 1.0)					(0.65, 1.0)	(0.0, 0.82)					('min_emo', 'min_cog', 'sum_age')	0.13	0.08788	0.06	0.06	[0.         0.65020253]	-1.3410557042460676	76.08047573186387	206.0537142857143	0.9200783686830015	2	1		103.47303096659492	76.08047573186387	70
			(0.78, 1.0)	(28.0, 29.0)										('min_emo', 'momage', 'momage')	0.12	0.034069565217391296	0.06	0.06	[0.         0.55070441]	-0.475531807338589	90.84863095539646	205.93346153846147	0.8585710007924644	2	1		115.12930178781681	90.84863095539646	78
				(27.0, 29.0)	(0.23, 0.89)				(0.87, 1.0)					('momage', 'sum_age', 'sum_emo')	0.12	0.08243478260869563	0.06	0.06	[0.         0.57161237]	-0.7286828472603748	81.34267334261403	235.32478260869567	1.1310176592364685	2	1		115.43614380533297	81.34267334261403	92
												(0.9, 1.0)	1.0	('slope_age', 'kidgen')	0.06	0.031662857142857145	0.1	0.1	[0.         0.59784747]	-1.1367675010610139	123.23325115155289	441.24279761904756	1.3632684233364316	2	1		148.86210726706034	123.23325115155289	168
