slope_emo	min_cog	slope_age	max_emo	homecog	min_emo	sum_age	kidgen	momage	sum_emo	slope_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.62)	(0.0, 0.39)	(0.29, 0.97)									('slope_emo', 'min_cog', 'slope_age')	71.76	-inf	0.1	0.1	[ 0.          1.08787331 -0.03383984]	-3.5715634453086706	82.5045433928399	218.5122388059701	1.6241529798179464	3	2	50.29466311771799	140.94345796199477	82.5045433928399	134
	(0.0, 0.37)	(0.29, 0.97)	(0.0, 0.61)								('max_emo', 'min_cog', 'slope_age')	71.19	64.071	0.08	0.08	[ 0.          1.09930745 -0.03493596]	-3.612032081346974	65.5614924094071	180.1417391304348	1.7540784349731982	3	2	50.3887188480339	121.75978058031679	65.5614924094071	115
	(0.0, 0.37)		(0.0, 0.61)			(0.44, 0.86)					('max_emo', 'min_cog', 'sum_age')	70.48	48.10170544615385	0.06	0.06	[ 0.          1.07985811 -0.03450251]	-3.5030098247656127	53.14842253370791	141.11917525773197	1.8250776857672577	3	2	44.63325477069185	109.90848641467294	53.14842253370791	97
		(0.0, 0.85)	(0.0, 0.61)	(1.0, 10.0)							('max_emo', 'slope_age', 'homecog')	64.33	61.57933793103448	0.29	0.29	[ 0.          1.90583286 -0.07771027]	-7.020307784559964	272.7781895553443	538.0477739726027	1.0704668158256685	3	2	2.85342889639902	340.0074849999523	272.7781895553443	292
		(0.63, 0.83)	(0.0, 0.61)								('max_emo', 'slope_age', 'slope_age')	66.36	55.01602702702702	0.09	0.09	[ 0.          1.44850384 -0.05334905]	-5.137805530357497	111.30318974966931	239.93816176470588	1.2218877132441217	3	2	12.516023104832804	181.3054062089723	111.30318974966931	136
		(0.0, 0.85)	(0.0, 0.61)		(0.0, 0.72)						('max_emo', 'slope_age', 'min_emo')	61.5	52.26918243243246	0.27	0.27	[ 0.          1.87996958 -0.07572518]	-6.9472318874320536	273.7823756358755	572.0807508532422	1.070193066005401	3	2	2.836329013839592	337.72103176701137	273.7823756358755	293
		(0.9, 1.0)					1.0				('slope_age', 'kidgen')	47.42	47.1140280952381	0.1	0.1	[ 0.          1.67850515 -0.05445858]	-6.209404697676014	112.25657399798084	441.24279761904756	1.4965715950232175	3	2	52.36182538224437	148.86210726706173	112.25657399798084	168
		(0.3, 0.9)						(21.0, 26.0)	(0.0, 0.69)		('momage', 'sum_emo', 'slope_age')	52.3	45.40229501167883	0.34	0.34	[ 0.          1.44012774 -0.049327  ]	-5.156159022637359	556.801405308891	1192.8860369609858	0.8746385970951922	3	2	-83.79576865981682	619.9318674659891	556.801405308891	487
			(0.0, 0.61)	(1.0, 10.0)				(21.0, 24.0)			('max_emo', 'momage', 'homecog')	63.54	42.79980715138983	0.15	0.15	[ 0.          1.74468189 -0.06983638]	-6.282496846812515	147.5206336928908	305.5494857142858	1.186274730654397	3	2	14.398777812916823	212.09440506778094	147.5206336928908	175
								(27.0, 29.0)		(0.3, 1.0)	('momage', 'slope_cog')	45.48	43.02273416326531	0.24	0.24	[ 0.          1.63267833 -0.05287349]	-6.042492302428461	315.7185926467217	1014.6390296495957	1.1750970916531873	3	2	42.112531476879646	356.8974631212311	315.7185926467217	371
