max_emo	momage	slope_age	sum_cog	homeemo	max_age	sum_age	min_emo	sum_emo	homecog	slope_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.61)	(21.0, 24.0)	(0.72, 0.83)									('max_emo', 'momage', 'slope_age')	0.19	-inf	0.08	0.08	[0.         0.39309012]	-0.20585673202133847	118.44006584435637	230.5571875	1.0807153735308326	2	1		174.69871163027898	118.44006584435637	128
(0.39, 0.67)			(0.0, 0.25)	(0.0, 9.0)							('sum_cog', 'homeemo', 'max_emo')	0.16	0.14756266666666668	0.07	0.07	[0.         0.39048665]	-0.31081666405145425	74.44876610467378	129.39999999999998	1.0745644848904718	2	1		115.20751447802776	74.44876610467378	80
(0.0, 0.61)	(21.0, 24.0)					(0.42, 0.82)					('max_emo', 'momage', 'sum_age')	0.17	0.138551	0.08	0.08	[0.         0.39055381]	-0.1315620417040395	121.85984552005024	228.74179687500003	1.0503870200536196	2	1		171.01133733905053	121.85984552005024	128
(0.5, 0.88)	(27.0, 29.0)						(0.78, 1.0)				('min_emo', 'momage', 'max_emo')	0.15	0.12439285714285711	0.07	0.07	[0.         0.62182748]	-1.063208148083925	87.20685774481916	219.85549999999998	0.9173590480016199	2	1		121.09906870416853	87.20685774481916	80
	(21.0, 24.0)			(0.0, 8.0)		(0.58, 0.82)					('homeemo', 'momage', 'sum_age')	0.19	0.16984642857142854	0.07	0.07	[0.         0.38882706]	-0.14903556049779576	113.51354577439609	205.62234234234234	0.9778568649472754	2	1		162.16409414503713	113.51354577439609	111
	(27.0, 29.0)						(0.78, 1.0)	(0.16, 0.88)			('min_emo', 'momage', 'sum_emo')	0.15	0.15	0.08	0.08	[0.         0.62617591]	-1.1144011871925352	91.30713418408193	250.42119565217396	1.0075882987907736	2	1		129.5900786198842	91.30713418408193	92
	(27.0, 29.0)						(0.78, 0.92)				('min_emo', 'momage', 'min_emo')	0.15	0.1361111111111111	0.07	0.07	[0.         0.58173612]	-0.6850148893134715	95.42157508387172	237.75752808988764	0.9327031116576371	2	1		130.48117338714005	95.42157508387172	89
			(0.0, 0.25)	(0.0, 9.0)	(0.33, 0.92)						('sum_cog', 'homeemo', 'max_age')	0.18	0.17751724137931033	0.07	0.07	[0.         0.36505083]	-0.014480605305569938	75.87366223743672	127.86571428571429	1.1071035392641648	2	1		124.28926038511283	75.87366223743672	84
			(0.0, 0.25)	(0.0, 9.0)	(0.32, 0.92)						('sum_cog', 'max_age', 'homeemo')	0.16	0.13090673548387094	0.08	0.08	[0.         0.37069679]	-0.04213434873494348	78.28859357351458	133.4759090909091	1.1240462496923798	2	1		124.38261520340664	78.28859357351458	88
				(0.0, 9.0)					(1.0, 7.0)	(0.0, 0.29)	('homecog', 'homeemo', 'slope_cog')	0.15	0.12316160270270267	0.09	0.09	[0.         0.40480775]	-0.4125689822704488	88.27814045548654	168.74439999999998	1.1327832630369477	2	1		131.32891610149625	88.27814045548654	100
