max_emo	min_cog	slope_age	homecog	momage	slope_cog	max_age	sum_emo	min_emo	sum_cog	slope_emo	homeemo	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.61)	(0.0, 0.37)	(0.29, 0.97)										('max_emo', 'min_cog', 'slope_age')	71.19	-inf	0.08	0.08	[ 0.          1.09930745 -0.03493596]	-3.612032081346974	65.5614924094071	180.1417391304348	1.7540784349731982	3	2	50.3887188480339	121.75978058031805	65.5614924094071	115
(0.0, 0.61)		(0.0, 0.85)	(1.0, 10.0)									('max_emo', 'slope_age', 'homecog')	64.33	57.675172413793106	0.29	0.29	[ 0.          1.90583286 -0.07771027]	-7.020307784559964	272.7781895553443	538.0477739726027	1.0704668158256685	3	2	2.85342889639902	340.0074849999542	272.7781895553443	292
(0.0, 0.61)		(0.0, 0.85)						(0.0, 0.72)				('max_emo', 'slope_age', 'min_emo')	61.5	26.179054054054053	0.27	0.27	[ 0.          1.87996958 -0.07572518]	-6.9472318874320536	273.7823756358755	572.0807508532422	1.070193066005401	3	2	2.836329013839592	337.7210317670133	273.7823756358755	293
	(0.65, 1.0)							(0.78, 1.0)				('min_emo', 'min_cog')	37.85	30.89795918367347	0.12	0.12	[ 0.          1.97891685 -0.0706637 ]	-7.5101082573681275	141.09416613507335	383.835	1.1765192321352507	3	2	11.649042443951963	177.231633152018	141.09416613507335	166
		(0.3, 0.9)		(21.0, 26.0)			(0.0, 0.69)					('momage', 'sum_emo', 'slope_age')	52.3	40.27481751824817	0.34	0.34	[ 0.          1.44012774 -0.049327  ]	-5.156159022637334	556.8014053088908	1192.8860369609858	0.8746385970951925	3	2	-83.79576865981663	619.9318674659924	556.8014053088908	487
		(0.0, 0.9)					(0.23, 0.71)				(0.0, 9.0)	('slope_age', 'homeemo', 'sum_emo')	52.57	17.189428353658535	0.3	0.3	[ 0.          1.37918695 -0.04647651]	-4.877943407428722	500.1119829918237	1001.6009624413146	0.851809223709332	3	2	-86.49060528229656	565.8022197010957	500.1119829918237	426
				(27.0, 29.0)	(0.3, 1.0)	(0.72, 1.0)						('momage', 'slope_cog', 'max_age')	50.39	50.39	0.19	0.19	[ 0.          1.69973582 -0.05604634]	-6.33234100708629	248.49260868030822	809.3091666666668	1.2072793697697355	3	2	39.39946456695717	293.94169291167475	248.49260868030822	300
				(27.0, 29.0)	(0.3, 1.0)							('momage', 'slope_cog')	45.48	23.552142857142858	0.24	0.24	[ 0.          1.63267833 -0.05287349]	-6.042492302428461	315.7185926467217	1014.6390296495957	1.1750970916531873	3	2	42.11253147687966	356.8974631212291	315.7185926467217	371
							(0.33, 0.66)		(0.0, 0.25)	(0.28, 0.62)		('sum_cog', 'sum_emo', 'slope_emo')	54.32	24.122368421052634	0.05	0.05	[0.         0.34909003]	0.04337115794274693	26.118842921439573	55.56759259259259	2.0674729030846257	2	1	31.24369215888132	66.33024509340672	26.118842921439573	54
											(10.0, 13.0)	('homeemo',)	26.55	14.18446514423077	0.51	0.51	[ 0.          1.68046593 -0.05597017]	-6.330975636338661	614.6922428709478	1882.0362297496322	1.1046178113924132	3	2	47.99823132162677	639.2017222640031	614.6922428709478	679
