slope_emo	slope_cog	max_emo	slope_age	sum_emo	sum_cog	max_age	sum_age	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.62)	(0.0, 0.3)							('slope_emo', 'slope_cog')	97.19	-inf	0.27	0.27	[0.         0.65076842]	-1.2333373573467101	316.28906064363275	358.905550660793	0.7176979170195331	2	1	-86.14728162990913	485.31207468969035	316.28906064363275	227
	(0.0, 0.57)	(0.0, 0.63)						('slope_cog', 'max_emo')	68.27	5.156984685430464	0.37	0.37	[0.         0.56155693]	-0.36266070907865133	696.3537141411625	748.0173913043477	0.5284670599536722	2	1	-246.51729339633536	838.3018230912021	696.3537141411625	368
		(0.0, 0.61)	(0.0, 0.85)					('max_emo', 'slope_age')	77.36	51.74756756756757	0.37	0.37	[0.         0.55493368]	-0.35447086446640563	644.6564693712402	690.8575487465181	0.5568857477691139	2	1	-221.9235146830104	799.6750387145196	644.6564693712402	359
			(0.9, 1.0)					('slope_age',)	31.18	30.817441860465117	0.21	0.21	[0.         0.60708181]	0.43556019128057333	869.1943815594539	913.9344411764706	0.3911668174729724	2	1	-330.7890879573188	952.6861656319213	869.1943815594539	340
				(0.0, 0.53)	(0.0, 0.41)			('sum_emo', 'sum_cog')	78.67	30.277598684210528	0.38	0.38	[0.         0.53725791]	-0.2528015480212149	627.457913192301	673.387492795389	0.5530251395421524	2	1	-217.24473047524754	787.1362199809406	627.457913192301	347
				(0.71, 1.0)				('sum_emo',)	25.57	20.16096153846154	0.26	0.26	[0.         0.50408064]	1.054966328952712	1060.8345203779966	1103.1183653846156	0.3921441016566569	2	1	-401.48974511825656	1128.0794493082312	1060.8345203779966	416
					(0.45, 1.0)			('sum_cog',)	23.01	6.507159653465346	0.5	0.5	[0.         0.43480123]	1.4117621556377484	2074.9873654444855	2131.7086945500637	0.3802432791348526	2	1	-776.2603666766302	2136.378800724887	2074.9873654444855	789
						(0.0, 0.64)	(0.0, 0.61)	('max_age', 'sum_age')	63.6	16.593624161073826	0.37	0.37	[0.         0.59146124]	-0.5886624357308197	666.8802744164811	716.2317664670659	0.5008395251940078	2	1	-242.57310774513806	806.76293001379	666.8802744164811	334
							(0.67, 1.0)	('sum_age',)	26.06	14.468992718446602	0.51	0.51	[0.         0.33209991]	2.125399131638443	2129.9010941077554	2162.5875728155347	0.38687242439545527	2	1	-795.948422512156	2198.338534477708	2129.9010941077554	824
							(0.0, 0.67)	('sum_age',)	42.15	11.318545854271356	0.49	0.49	[0.         0.53011367]	0.03240860209638852	1132.2484613562676	1194.0442315369262	0.44248238535901874	2	1	-420.9258780369641	1231.6233467466807	1132.2484613562676	501
