slope_emo	slope_cog	max_emo	slope_age	sum_emo	sum_age	sum_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.62)	(0.0, 0.3)						('slope_emo', 'slope_cog')	97.19	-inf	0.27	0.27	[0.         0.65076842]	-1.2333373573467101	316.28906064363275	358.905550660793	0.7176979170195331	2	1	-86.14728162990913	485.31207468969035	316.28906064363275	227
		(0.0, 0.61)	(0.0, 0.85)				('max_emo', 'slope_age')	77.36	31.257621621621624	0.37	0.37	[0.         0.55493368]	-0.35447086446640563	644.6564693712402	690.8575487465181	0.5568857477691139	2	1	-221.9235146830104	799.6750387145196	644.6564693712402	359
			(0.9, 1.0)				('slope_age',)	31.18	30.52739534883721	0.21	0.21	[0.         0.60708181]	0.43556019128057333	869.1943815594539	913.9344411764706	0.3911668174729724	2	1	-330.7890879573188	952.6861656319213	869.1943815594539	340
				(0.71, 1.0)			('sum_emo',)	25.57	15.83373076923077	0.26	0.26	[0.         0.50408064]	1.054966328952712	1060.8345203779966	1103.1183653846156	0.3921441016566569	2	1	-401.48974511825656	1128.0794493082312	1060.8345203779966	416
				(0.53, 1.0)			('sum_emo',)	19.71	0.06493566831683172	0.5	0.5	[0.         0.49084209]	1.0056678781035036	2133.7401243362306	2206.382108585859	0.3711792223274507	2	1	-798.2767639279397	2187.505792091422	2133.7401243362306	792
					(0.0, 0.67)		('sum_age',)	42.15	11.897314070351758	0.49	0.49	[0.         0.53011367]	0.03240860209638852	1132.2484613562676	1194.0442315369262	0.44248238535901874	2	1	-420.9258780369641	1231.6233467466807	1132.2484613562676	501
					(0.67, 1.0)		('sum_age',)	26.06	7.763602912621359	0.51	0.51	[0.         0.33209991]	2.125399131638443	2129.9010941077554	2162.5875728155347	0.38687242439545527	2	1	-795.948422512156	2198.338534477708	2129.9010941077554	824
					(0.0, 0.67)	(0.0, 0.38)	('sum_age', 'sum_cog')	63.15	1.0625305369127518	0.37	0.37	[0.         0.51518959]	-0.06194756287137526	660.7168078871773	702.3941492537314	0.5070250915384673	2	1	-239.15851450819102	797.7734233639726	660.7168078871773	335
						(0.45, 1.0)	('sum_cog',)	23.01	0.7611525742574259	0.5	0.5	[0.         0.43480123]	1.4117621556377484	2074.9873654444855	2131.7086945500637	0.3802432791348526	2	1	-776.2603666766302	2136.378800724887	2074.9873654444855	789
						(0.0, 0.45)	('sum_cog',)	38.08	0.5281864827586207	0.5	0.5	[0.         0.47510573]	0.4458731410653538	1204.859786096105	1255.299701492537	0.4448650425430053	2	1	-446.7198627687337	1293.5830804995019	1204.859786096105	536
