SSAnsCprop	NCPreOrdmax	SAAnsCprop	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.03, 1.0)	(52.0, 52.0)			('SSAnsCprop', 'NCPreOrdmax')	-17588.08	-inf	1.0	1.0	3.59	20.98	[  86.7   629.57 -609.    582.58]	[1317.95 -630.51 8234.35 -544.93]	[1.   3.59 7.16 7.37 9.  ]	[ 1404.66    86.7    542.87 -1238.57  1191.58]	58647963312.641014	94410016711.28767	4.4507939450258365e-07	7	3	58758480702.37261	58647963312.641014	26103
(0.03, 1.0)	(52.0, 52.0)	(0.21, 1.0)		('SSAnsCprop', 'NCPreOrdmax', 'SAAnsCprop')	-17588.08	-15829.272000000004	1.0	1.0	3.59	0.0	[  86.7   629.57 -255.49 3980.16]	[  1317.95   -630.51   6159.64 -31123.14]	[1.   3.59 7.67 8.8  9.  ]	[1404.66   86.7   542.87 -885.07 4235.65]	58647963312.638916	94410016711.28767	4.4507939450259953e-07	7	3	58758480702.37261	58647963312.638916	26103
(0.03, 1.0)		(0.21, 1.0)		('SSAnsCprop', 'SAAnsCprop')	-17588.16	-14246.409600000006	1.0	1.0	3.62	20.98	[ 91.56 631.89  29.07 582.58]	[1310.26 -644.73 3575.01 -544.93]	[1.   3.62 7.   7.44 9.  ]	[1401.81   91.56  540.33 -602.82  553.51]	58648244128.16744	94410016711.28767	4.4507726340375317e-07	7	3	58758480702.37261	58648244128.16744	26103
(0.03, 1.0)				('SSAnsCprop',)	-17588.33	-12821.892570000004	1.0	1.0	3.64	0.0	[ 95.18 633.52 335.87 850.81]	[ 1304.46  -654.77  1428.76 -2958.97]	[1.   3.64 7.   8.52 9.  ]	[1399.64   95.18  538.33 -297.65  514.94]	58648803962.116135	94410016711.28767	4.4507301490514775e-07	7	3	58758480702.37261	58648803962.116135	26103
	(52.0, 52.0)		(0.01, 0.04)	('SStimeCmean', 'NCPreOrdmax')	-18493.59	-10923.979992093471	1.0	1.0	3.59	0.0	[  86.66  629.6    89.3  4918.39]	[  1317.64   -630.75   3401.16 -39567.27]	[1.   3.59 7.46 8.9  9.  ]	[1404.3    86.66  542.94 -540.29 4829.09]	58641425216.51567	94410539605.31314	4.451119648546448e-07	7	3	58751966630.282684	58641425216.51567	26102
	(52.0, 52.0)	(0.21, 1.0)	(0.01, 0.04)	('SStimeCmean', 'NCPreOrdmax', 'SAAnsCprop')	-18493.59	-7963.581414236142	1.0	1.0	3.59	0.0	[ 86.66 629.6  266.85 743.01]	[ 1317.64  -630.75  1980.81 -1988.85]	[1.   3.59 7.2  8.34 9.  ]	[1404.3    86.66  542.94 -362.75  476.16]	58641425216.5157	94410539605.31314	4.4511196485464446e-07	7	3	58751966630.282684	58641425216.5157	26102
		(0.21, 1.0)	(0.01, 0.04)	('SStimeCmean', 'SAAnsCprop')	-18493.59	-9831.581992884127	1.0	1.0	3.59	0.0	[ 86.66 629.6  304.97 586.86]	[1317.64 -630.76 1675.84 -583.52]	[1.   3.59 7.11 8.01 9.  ]	[1404.3    86.66  542.94 -324.63  281.89]	58641425216.51709	94410539605.31314	4.45111964854634e-07	7	3	58751966630.282684	58641425216.51709	26102
		(0.21, 1.0)	(0.01, 0.02)	('SStimeCmean', 'SAAnsCprop', 'SStimeCmean')	-18493.59	-7167.223272812528	1.0	1.0	3.59	0.0	[ 86.66 629.6  326.76 688.51]	[ 1317.64  -630.75  1501.5  -1498.32]	[1.   3.59 7.04 8.29 9.  ]	[1404.3    86.66  542.94 -302.84  361.75]	58641425216.51566	94410539605.31314	4.451119648546448e-07	7	3	58751966630.282684	58641425216.51566	26102
			(0.01, 0.04)	('SStimeCmean',)	-18493.59	-12137.755546770526	1.0	1.0	3.59	20.98	[   86.66   629.6  -3812.15   582.66]	[ 1317.64  -630.75 30781.22  -545.65]	[1.   3.59 7.07 7.13 9.  ]	[ 1404.3     86.66   542.94 -4441.75  4394.81]	58641425216.515724	94410539605.31314	4.451119648546443e-07	7	3	58751966630.282684	58641425216.515724	26102
			(0.01, 0.02)	('SStimeCmean', 'SStimeCmean')	-18493.59	-8848.423793595714	1.0	1.0	3.59	0.0	[ 86.66 629.6  210.67 961.14]	[ 1317.64  -630.75  2430.23 -3952.  ]	[1.   3.59 7.31 8.5  9.  ]	[1404.3    86.66  542.94 -418.93  750.47]	58641425216.51568	94410539605.31314	4.451119648546447e-07	7	3	58751966630.282684	58641425216.51568	26102
