SSAnsCprop	NCPreOrdmax	SAAnsCprop	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.03, 1.0)				('SSAnsCprop',)	-17588.08	-inf	1.0	1.0	3.59	20.98	[ 86.7  629.57  27.74 582.58]	[1317.95 -630.51 3646.67 -544.93]	[1.   3.59 7.11 7.55 9.  ]	[1404.66   86.7   542.87 -601.83  554.84]	58647963312.63871	94410016711.28767	4.4507939450260107e-07	7	3	58758480699.526886	58647963312.63871	26103
(0.03, 1.0)	(52.0, 52.0)			('SSAnsCprop', 'NCPreOrdmax')	-17588.08	-8794.04	1.0	1.0	3.59	0.0	[ 86.7  629.57 338.13 636.39]	[ 1317.95  -630.51  1410.67 -1029.25]	[1.   3.59 7.   8.18 9.  ]	[1404.66   86.7   542.87 -291.45  298.26]	58647963312.6386	94410016711.28767	4.450793945026019e-07	7	3	58758480699.526886	58647963312.6386	26103
(0.03, 1.0)		(0.21, 1.0)		('SSAnsCprop', 'SAAnsCprop')	-17588.08	-4397.02	1.0	1.0	3.59	0.0	[  86.7   629.57 -641.27  726.35]	[ 1317.95  -630.51  9245.86 -1838.83]	[1.   3.59 7.77 8.11 9.  ]	[ 1404.66    86.7    542.87 -1270.84  1367.62]	58647963312.63861	94410016711.28767	4.450793945026018e-07	7	3	58758480699.526886	58647963312.63861	26103
(0.03, 1.0)	(52.0, 52.0)	(0.21, 1.0)		('SSAnsCprop', 'NCPreOrdmax', 'SAAnsCprop')	-17588.08	-2198.51	1.0	1.0	3.59	0.0	[ 86.7  629.57 269.78 649.86]	[ 1317.95  -630.51  1957.45 -1150.45]	[1.   3.59 7.19 8.18 9.  ]	[1404.66   86.7   542.87 -359.79  380.08]	58647963312.640434	94410016711.28767	4.45079394502588e-07	7	3	58758480699.526886	58647963312.640434	26103
	(52.0, 52.0)		(0.01, 0.04)	('SStimeCmean', 'NCPreOrdmax')	-18493.59	-583.5283528603749	1.0	1.0	3.59	0.0	[ 86.66 629.6  144.35 910.8 ]	[ 1317.64  -630.76  2960.83 -3498.93]	[1.   3.59 7.4  8.43 9.  ]	[1404.3    86.66  542.94 -485.25  766.45]	58641425216.51713	94410539605.31314	4.4511196485463366e-07	7	3	58751966625.0948	58641425216.51713	26102
	(52.0, 52.0)	(0.21, 1.0)	(0.01, 0.04)	('SStimeCmean', 'NCPreOrdmax', 'SAAnsCprop')	-18493.59	-72.94104410754686	1.0	1.0	3.59	20.98	[ 86.66 629.6    5.53 582.66]	[1317.64 -630.76 3875.89 -545.65]	[1.   3.59 7.22 7.66 9.  ]	[1404.3    86.66  542.94 -624.07  577.12]	58641425216.53098	94410539605.31314	4.451119648545285e-07	7	3	58751966625.0948	58641425216.53098	26102
	(52.0, 52.0)		(0.01, 0.02)	('SStimeCmean', 'NCPreOrdmax', 'SStimeCmean')	-18493.59	-36.47052205377343	1.0	1.0	3.59	20.98	[ 86.66 629.6   17.56 582.66]	[1317.64 -630.75 3713.87 -545.65]	[1.   3.59 7.1  7.54 9.  ]	[1404.3    86.66  542.94 -612.03  565.09]	58641425216.515656	94410539605.31314	4.4511196485464483e-07	7	3	58751966625.0948	58641425216.515656	26102
		(0.21, 1.0)	(0.01, 0.04)	('SStimeCmean', 'SAAnsCprop')	-18493.59	-291.76417643018743	1.0	1.0	3.59	0.0	[ 86.66 629.6  333.22 680.42]	[ 1317.64  -630.75  1449.82 -1425.53]	[1.   3.59 7.02 8.28 9.  ]	[1404.3    86.66  542.94 -296.38  347.2 ]	58641425216.51566	94410539605.31314	4.451119648546448e-07	7	3	58751966625.0948	58641425216.51566	26102
			(0.01, 0.04)	('SStimeCmean',)	-18493.59	-1167.0567057207497	1.0	1.0	3.59	20.98	[   86.66   629.6  -1815.41   582.66]	[ 1317.64  -630.75 17108.22  -545.65]	[1.   3.59 7.26 7.36 9.  ]	[ 1404.3     86.66   542.94 -2445.01  2398.06]	58641425216.515915	94410539605.31314	4.4511196485464293e-07	7	3	58751966625.0948	58641425216.515915	26102
			(0.01, 0.02)	('SStimeCmean', 'SStimeCmean')	-18493.59	-145.88208821509372	1.0	1.0	3.59	0.0	[ 86.66 629.6  216.21 638.78]	[ 1317.64  -630.76  2385.9  -1050.78]	[1.   3.59 7.3  8.13 9.  ]	[1404.3    86.66  542.94 -413.39  422.57]	58641425216.51784	94410539605.31314	4.4511196485462826e-07	7	3	58751966625.0948	58641425216.51784	26102
